profile,field,mean,ci95Low,ci95High,significant
aggressor,scoreLead,0.08,0.036,0.134,1
aggressor,collapsed,-0.188,-0.286,-0.089,1
aggressor,score,137030.455,84835.556,191779.198,1
aggressor,population,173.455,82.523,261.867,1
aggressor,prosperity,189.441,99.804,278.524,1
aggressor,stability,182.405,95.038,268.036,1
aggressor,armyValue,15952.679,4898.471,27680.48,1
aggressor,killsValue,67592.857,49544.9,86647.533,1
aggressor,deathsValue,49577.143,38079.549,61207.054,1
aggressor,completedTechnologies,1.143,0.866,1.42,1
aggressor,researchInputSpent,34.696,23.964,44.411,1
aggressor,mobilized,23.384,10.196,38.197,1
aggressor,availableWorkforce,50.232,21.445,80.219,1
aggressor,warCasualties,71.473,42.693,99.492,1
aggressor,activeWars,0.071,-0.045,0.188,0
aggressor,plannerRequests,0.179,0.071,0.286,1
aggressor,targetSelections,95.732,65.427,125.289,1
aggressor,retreats,2.411,1.196,3.634,1
aggressor,regroups,16.875,8.723,25.233,1
aggressor,reengagements,15.777,7.713,24.26,1
aggressor,scoreShare,91.243,58.065,125.066,1
aggressor,performanceDelta,20.153,5.558,36.263,1
economist,scoreLead,-0.107,-0.223,0.009,0
economist,collapsed,0.08,-0.027,0.179,0
economist,score,-121538.741,-214284.685,-29674.501,1
economist,population,-268.196,-417.214,-123.292,1
economist,prosperity,-47.277,-139.24,49.092,0
economist,stability,-55.262,-149.074,41.062,0
economist,armyValue,-63850.0,-93616.618,-34250.033,1
economist,killsValue,42587.054,21947.868,63423.136,1
economist,deathsValue,64587.5,44992.056,86527.493,1
economist,completedTechnologies,-0.116,-0.268,0.027,0
economist,researchInputSpent,-5.232,-13.232,3.054,0
economist,mobilized,-66.125,-91.736,-40.56,1
economist,availableWorkforce,-133.223,-187.594,-76.631,1
economist,warCasualties,106.527,64.071,148.002,1
economist,activeWars,0.018,-0.089,0.125,0
economist,plannerRequests,0.062,0.018,0.107,1
economist,targetSelections,62.812,39.793,86.554,1
economist,retreats,1.652,0.92,2.312,1
economist,regroups,3.411,1.473,5.429,1
economist,reengagements,3.295,1.383,5.18,1
economist,scoreShare,-53.101,-110.961,1.421,0
economist,performanceDelta,-24.727,-44.684,-3.458,1
technologist,scoreLead,-0.125,-0.223,-0.018,1
technologist,collapsed,0.116,0.0,0.232,0
technologist,score,-140335.357,-249301.047,-37999.765,1
technologist,population,-249.464,-400.787,-91.991,1
technologist,prosperity,-99.952,-206.323,6.53,0
technologist,stability,-103.853,-210.854,4.129,0
technologist,armyValue,-75587.5,-110903.493,-41763.359,1
technologist,killsValue,42264.732,20532.143,63888.192,1
technologist,deathsValue,49892.679,34081.185,66676.509,1
technologist,completedTechnologies,-0.036,-0.143,0.062,0
technologist,researchInputSpent,2.214,-0.179,4.518,0
technologist,mobilized,-53.259,-82.856,-24.752,1
technologist,availableWorkforce,-114.384,-169.646,-57.666,1
technologist,warCasualties,63.17,21.133,103.796,1
technologist,activeWars,0.08,-0.054,0.214,0
technologist,plannerRequests,0.232,0.116,0.348,1
technologist,targetSelections,45.696,22.179,68.554,1
technologist,retreats,0.964,-0.009,1.875,0
technologist,regroups,2.009,-0.188,4.34,0
technologist,reengagements,1.804,-0.375,3.973,0
technologist,scoreShare,-46.599,-97.688,5.224,0
technologist,performanceDelta,-10.341,-28.973,8.569,0
fortress,scoreLead,0.152,0.045,0.259,1
fortress,collapsed,0.089,-0.018,0.196,0
fortress,score,-8799.714,-104974.567,93647.877,0
fortress,population,-203.036,-333.856,-68.149,1
fortress,prosperity,-64.214,-156.788,33.699,0
fortress,stability,-70.731,-160.215,22.614,0
fortress,armyValue,-47509.375,-84744.275,-12837.6,1
fortress,killsValue,70984.375,48785.871,92941.652,1
fortress,deathsValue,60799.286,41826.944,78582.58,1
fortress,completedTechnologies,0.036,-0.107,0.179,0
fortress,researchInputSpent,-5.411,-15.698,4.518,0
fortress,mobilized,-50.938,-78.583,-23.204,1
fortress,availableWorkforce,-105.161,-160.133,-52.205,1
fortress,warCasualties,98.062,61.787,135.519,1
fortress,activeWars,0.062,-0.036,0.161,0
fortress,plannerRequests,0.339,0.223,0.464,1
fortress,targetSelections,74.554,48.179,100.26,1
fortress,retreats,0.973,0.312,1.589,1
fortress,regroups,2.768,0.955,4.625,1
fortress,reengagements,2.509,0.795,4.25,1
fortress,scoreShare,8.458,-46.154,62.245,0
fortress,performanceDelta,14.916,-7.155,36.843,0
