profile,n,score_leads,collapses,final_plans,planner_requests_mean,score_candidate_mean,score_delta_mean,score_delta_ci_low,score_delta_ci_high,population_candidate_mean,population_delta_mean,population_delta_ci_low,population_delta_ci_high,prosperity_candidate_mean,prosperity_delta_mean,prosperity_delta_ci_low,prosperity_delta_ci_high,stability_candidate_mean,stability_delta_mean,stability_delta_ci_low,stability_delta_ci_high,armyValue_candidate_mean,armyValue_delta_mean,armyValue_delta_ci_low,armyValue_delta_ci_high,completedTechnologies_candidate_mean,completedTechnologies_delta_mean,completedTechnologies_delta_ci_low,completedTechnologies_delta_ci_high,researchInputSpent_candidate_mean,researchInputSpent_delta_mean,researchInputSpent_delta_ci_low,researchInputSpent_delta_ci_high,mobilized_candidate_mean,mobilized_delta_mean,mobilized_delta_ci_low,mobilized_delta_ci_high,availableWorkforce_candidate_mean,availableWorkforce_delta_mean,availableWorkforce_delta_ci_low,availableWorkforce_delta_ci_high,warCasualties_candidate_mean,warCasualties_delta_mean,warCasualties_delta_ci_low,warCasualties_delta_ci_high,activeWars_candidate_mean,activeWars_delta_mean,activeWars_delta_ci_low,activeWars_delta_ci_high
aggressor,112,28,13,economy:99;recovery:13,2.054,67914.286,727.054,-4435.263,6589.413,889.402,-8.268,-53.627,36.438,879.652,0.589,-43.884,46.146,856.929,3.902,-42.158,47.29,8741.964,426.339,-486.239,1309.855,1.0,0.062,0.018,0.107,92.679,0.804,-0.5,2.143,10.188,-23.688,-28.25,-19.088,548.625,18.759,-12.39,47.109,15.741,-0.875,-2.491,0.759,0.045,-0.018,-0.045,0.0
economist,112,37,1,economy:111;recovery:1,2.009,78590.83,406.571,-4362.193,5505.757,998.964,-7.821,-26.795,2.625,977.804,41.473,21.651,53.75,870.429,45.866,27.079,57.018,14512.946,171.429,-833.996,1217.824,1.027,0.027,0.0,0.062,94.804,0.607,-0.5,1.518,33.098,-126.714,-137.867,-114.964,595.205,122.232,106.578,135.931,15.893,-1.321,-3.116,0.455,1.018,-0.009,-0.027,0.0
technologist,112,18,1,recovery:11;technology:101,4.161,62911.679,-4263.58,-9633.702,859.596,991.366,10.804,-18.465,47.286,980.75,52.714,23.616,86.065,771.615,-14.822,-40.262,11.851,10439.286,-1485.268,-2777.277,-271.83,2.455,1.464,1.366,1.571,158.696,64.589,62.75,66.321,24.991,-109.08,-122.385,-95.785,592.589,113.42,89.834,139.219,32.42,7.268,4.293,10.536,1.938,0.688,0.589,0.786
fortress,112,29,0,economy:112,1.0,83279.714,1411.107,-3108.412,5964.869,1027.286,-3.393,-39.268,32.125,984.379,29.924,17.919,49.515,886.604,-36.511,-54.078,-14.89,15720.089,-1725.0,-2723.739,-720.882,1.107,0.116,0.062,0.179,95.411,1.054,0.214,1.982,39.232,-55.125,-66.53,-43.973,602.0,45.714,23.344,65.644,14.571,3.607,1.938,5.161,0.946,0.696,0.598,0.786
