date,purpose,base_commit,tree_state,map,bots,profile,trade_enabled,seed,max_ticks,telemetry_interval,sync_hash,war_relations,final_research,final_trade,final_survival,final_mobilization,final_recovery,recovery_events,total_population,mobilized,available_workforce,war_casualties,stability_min,stability_max,trade_dependency_min,trade_dependency_max,completed_technologies,research_materials_spent,research_energy_spent,notes
2026-07-29,peaceful-research,68474e7f,civilization-ai-working-tree,coldrage,steward,balanced,true,8001,6500,250,8873115B,0,4,0,0,0,0,0,4048,0,2600,0,998,999,0,0,4,101,101,Four Steward factions selected research and unlocked agricultural systems
2026-07-29,trade-dependent-peace,68474e7f,civilization-ai-working-tree,coldrage,"aggressor,economist",trade,true,8005,6000,250,5148E59C,0,1,3,0,0,0,0,4006,157,2443,0,893,956,0,616,0,83,83,Trade dependency kept all six relationships neutral
2026-07-29,no-trade-rivalry-control,68474e7f,civilization-ai-working-tree,coldrage,"aggressor,economist",trade,false,8005,6000,250,B8BB9BE5,1,0,0,2,2,0,0,3938,308,2287,5,678,848,0,0,0,70,70,Same production and seed without trade produced one war and civil decline
2026-07-29,war-cost-repeat-a,68474e7f,civilization-ai-working-tree,coldrage,"aggressor,fortress",balanced,false,8003,8000,250,8431018E,5,0,0,0,4,0,0,4016,382,2186,32,656,773,0,0,0,124,124,Five wars triggered mobilization and population casualties
2026-07-29,war-cost-repeat-b,68474e7f,civilization-ai-working-tree,coldrage,"aggressor,fortress",balanced,false,8003,8000,250,8431018E,5,0,0,0,4,0,0,4016,382,2186,32,656,773,0,0,0,124,124,Exact synchronized repeat of war-cost-repeat-a
2026-07-29,post-war-recovery,68474e7f,civilization-ai-working-tree,coldrage,"aggressor,fortress",balanced,false,8004,12000,250,515DAF3C,0,4,0,0,0,0,4,4019,149,2374,77,961,966,0,0,4,188,188,All factions entered recovery after peace then returned to research as stability recovered
