date,purpose,base_commit,tree_state,map,bots,profile,trade_enabled,seed,max_ticks,telemetry_interval,world_tick,sync_hash,route_count,active_routes,suspended_routes,shipment_events,shipped_units,food_units,materials_units,energy_units,population_min,population_max,food_satisfaction_min,food_satisfaction_max,notes
2026-07-29,trade-enabled-a,a1d00c29,sprint-5-trade-working-tree,coldrage,steward,trade,true,7901,4000,250,4000,FA34F889,6,6,0,75,750,450,70,230,1000,1006,680,1000,All six routes active and every sampled shipment reconciled to cumulative flow
2026-07-29,trade-enabled-b,a1d00c29,sprint-5-trade-working-tree,coldrage,steward,trade,true,7901,4000,250,4000,FA34F889,6,6,0,75,750,450,70,230,1000,1006,680,1000,Exact synchronized repeat of trade-enabled-a
2026-07-29,trade-disabled-control,a1d00c29,sprint-5-trade-working-tree,coldrage,steward,trade,false,7901,4000,250,4000,7BBE3395,0,0,0,0,0,0,0,0,984,1006,280,1000,Same asymmetric production and seed with trade disabled
2026-07-29,war-route-suspension,a1d00c29,sprint-5-trade-working-tree,coldrage,"rogue,fortress",trade,true,7902,6000,250,6000,B5C74FD5,6,1,5,94,912,540,70,302,985,1012,320,1000,Five bilateral wars suspended exactly five corresponding routes
