run,technology,completedOf448
econ001-candidate-112-v1,agricultural-systems,321
econ001-candidate-112-v1,energy-grid,224
econ001-candidate-112-v1,logistics,15
econ001-candidate-112-v1,civil-engineering,0
econ001-candidate-112-v1,research-networks,104
econ002-candidate-112-v1,agricultural-systems,444
econ002-candidate-112-v1,energy-grid,240
econ002-candidate-112-v1,logistics,378
econ002-candidate-112-v1,civil-engineering,109
econ002-candidate-112-v1,research-networks,112
