profile,field,mean,ci95Low,ci95High,significant
aggressor,scoreLead,-0.054,-0.134,0.036,0
aggressor,collapsed,0.027,-0.045,0.09,0
aggressor,score,-11912.723,-17723.075,-5887.986,1
aggressor,population,-30.0,-94.447,34.452,0
aggressor,prosperity,-33.17,-95.831,31.901,0
aggressor,stability,-179.929,-242.517,-118.028,1
aggressor,armyValue,-1941.071,-2907.154,-1000.424,1
aggressor,killsValue,-685.268,-2352.712,1112.143,0
aggressor,deathsValue,2559.375,1286.004,3808.984,1
aggressor,completedTechnologies,-0.009,-0.045,0.018,0
aggressor,researchInputSpent,0.482,-0.643,1.786,0
aggressor,mobilized,15.875,9.437,22.867,1
aggressor,availableWorkforce,-35.857,-77.913,6.885,0
aggressor,warCasualties,2.571,0.107,4.884,1
aggressor,activeWars,1.688,1.509,1.848,1
aggressor,plannerRequests,-0.848,-0.929,-0.768,1
aggressor,targetSelections,2.5,-2.42,7.617,0
aggressor,retreats,0.214,-0.188,0.652,0
aggressor,regroups,1.259,-0.357,3.036,0
aggressor,reengagements,0.982,-0.554,2.723,0
economist,scoreLead,0.0,-0.098,0.098,0
economist,collapsed,0.0,0.0,0.0,0
economist,score,777.598,-3432.708,5044.788,0
economist,population,8.786,6.598,10.867,1
economist,prosperity,-2.848,-6.054,0.411,0
economist,stability,23.759,12.758,34.223,1
economist,armyValue,3168.304,2183.002,4203.694,1
economist,killsValue,-5056.25,-6255.424,-3764.944,1
economist,deathsValue,-4886.161,-6041.094,-3777.623,1
economist,completedTechnologies,0.0,-0.036,0.036,0
economist,researchInputSpent,-0.018,-0.661,0.625,0
economist,mobilized,7.384,-0.608,15.663,0
economist,availableWorkforce,1.402,-6.598,9.831,0
economist,warCasualties,-8.786,-10.839,-6.661,1
economist,activeWars,-0.196,-0.295,-0.098,1
economist,plannerRequests,0.009,0.0,0.027,0
economist,targetSelections,-7.214,-9.456,-5.009,1
economist,retreats,-0.161,-0.339,-0.009,1
economist,regroups,-0.33,-0.554,-0.134,1
economist,reengagements,-0.286,-0.464,-0.125,1
technologist,scoreLead,0.0,-0.089,0.089,0
technologist,collapsed,-0.009,-0.071,0.045,0
technologist,score,7665.848,970.137,14473.223,1
technologist,population,32.67,-31.143,96.294,0
technologist,prosperity,7.817,-47.359,62.265,0
technologist,stability,157.153,106.007,206.219,1
technologist,armyValue,4902.679,3537.879,6298.326,1
technologist,killsValue,-4962.054,-6363.638,-3654.196,1
technologist,deathsValue,-8226.786,-10266.194,-6348.214,1
technologist,completedTechnologies,0.339,0.179,0.5,1
technologist,researchInputSpent,9.339,4.875,13.931,1
technologist,mobilized,3.455,-7.84,14.805,0
technologist,availableWorkforce,22.75,-15.139,58.958,0
technologist,warCasualties,-14.598,-18.125,-10.812,1
technologist,activeWars,-1.518,-1.661,-1.375,1
technologist,plannerRequests,-0.054,-0.17,0.062,0
technologist,targetSelections,-5.438,-9.68,-1.383,1
technologist,retreats,-0.241,-0.571,0.089,0
technologist,regroups,-0.179,-0.509,0.152,0
technologist,reengagements,-0.08,-0.357,0.205,0
fortress,scoreLead,0.054,-0.054,0.152,0
fortress,collapsed,-0.009,-0.027,0.0,0
fortress,score,4873.384,-142.712,9652.819,0
fortress,population,17.5,7.125,36.908,1
fortress,prosperity,6.607,-5.527,25.799,0
fortress,stability,35.455,16.873,57.932,1
fortress,armyValue,4014.286,2966.786,5166.373,1
fortress,killsValue,-4928.571,-6352.277,-3620.949,1
fortress,deathsValue,-5067.857,-6194.676,-4041.953,1
fortress,completedTechnologies,0.062,-0.018,0.143,0
fortress,researchInputSpent,0.214,-0.411,0.839,0
fortress,mobilized,6.223,-6.545,18.19,0
fortress,availableWorkforce,7.938,-5.947,24.055,0
fortress,warCasualties,-8.357,-10.036,-6.58,1
fortress,activeWars,-0.223,-0.339,-0.116,1
fortress,plannerRequests,-0.009,-0.027,0.0,0
fortress,targetSelections,-5.875,-8.215,-3.517,1
fortress,retreats,-0.125,-0.205,-0.054,1
fortress,regroups,-0.17,-0.268,-0.08,1
fortress,reengagements,-0.089,-0.152,-0.036,1
