profile,field,mean,ci95Low,ci95High,significant
aggressor,scoreLead,0.0,-0.027,0.027,0
aggressor,collapsed,0.027,0.0,0.062,0
aggressor,score,79.634,-2069.641,2334.136,0
aggressor,population,-26.955,-62.501,-0.41,1
aggressor,prosperity,-26.241,-61.554,0.438,0
aggressor,stability,-28.607,-57.992,-5.857,1
aggressor,armyValue,-329.464,-798.717,61.629,0
aggressor,killsValue,464.732,-94.241,1003.571,0
aggressor,deathsValue,204.018,-299.129,760.379,0
aggressor,completedTechnologies,0.009,-0.018,0.045,0
aggressor,researchInputSpent,-0.321,-1.179,0.357,0
aggressor,mobilized,-1.223,-2.464,0.0,0
aggressor,availableWorkforce,-15.714,-37.273,0.875,0
aggressor,warCasualties,-0.473,-1.625,0.643,0
aggressor,activeWars,0.062,-0.036,0.161,0
aggressor,plannerRequests,0.036,-0.018,0.089,0
aggressor,targetSelections,1.696,-0.0,3.402,0
aggressor,retreats,0.08,-0.107,0.286,0
aggressor,regroups,-0.071,-0.482,0.312,0
aggressor,reengagements,-0.062,-0.473,0.304,0
economist,scoreLead,-0.027,-0.062,0.009,0
economist,collapsed,0.009,0.0,0.027,0
economist,score,-82.429,-1949.829,1659.794,0
economist,population,-10.125,-28.938,-0.419,1
economist,prosperity,-9.616,-34.791,0.438,0
economist,stability,-29.661,-50.887,-12.455,1
economist,armyValue,-293.304,-667.969,24.565,0
economist,killsValue,633.036,80.301,1213.393,1
economist,deathsValue,665.625,258.46,1141.618,1
economist,completedTechnologies,0.0,0.0,0.0,0
economist,researchInputSpent,-0.232,-0.839,0.107,0
economist,mobilized,1.696,-2.214,5.965,0
economist,availableWorkforce,-8.482,-22.679,0.322,0
economist,warCasualties,0.982,0.241,1.768,1
economist,activeWars,0.205,0.098,0.321,1
economist,plannerRequests,0.009,0.0,0.027,0
economist,targetSelections,1.17,0.384,1.982,1
economist,retreats,0.0,-0.036,0.036,0
economist,regroups,-0.018,-0.071,0.027,0
economist,reengagements,-0.009,-0.036,0.018,0
technologist,scoreLead,0.018,-0.027,0.062,0
technologist,collapsed,0.018,0.0,0.045,0
technologist,score,-114.786,-2199.405,1939.505,0
technologist,population,-27.946,-63.286,-1.169,1
technologist,prosperity,-17.879,-44.757,0.643,0
technologist,stability,-34.3,-63.718,-13.285,1
technologist,armyValue,-358.929,-798.326,65.636,0
technologist,killsValue,772.768,326.306,1310.335,1
technologist,deathsValue,987.946,332.567,1711.674,1
technologist,completedTechnologies,-0.036,-0.107,0.0,0
technologist,researchInputSpent,0.107,-1.036,0.911,0
technologist,mobilized,-1.741,-8.93,3.152,0
technologist,availableWorkforce,-16.402,-35.324,-2.481,1
technologist,warCasualties,0.732,-0.348,1.84,0
technologist,activeWars,0.214,0.125,0.312,1
technologist,plannerRequests,0.018,-0.018,0.062,0
technologist,targetSelections,2.286,0.795,3.938,1
technologist,retreats,0.089,-0.018,0.205,0
technologist,regroups,0.08,-0.036,0.205,0
technologist,reengagements,0.036,-0.071,0.152,0
fortress,scoreLead,0.009,-0.027,0.054,0
fortress,collapsed,0.018,0.0,0.045,0
fortress,score,-527.875,-1991.849,869.477,0
fortress,population,-19.188,-46.563,-0.714,1
fortress,prosperity,-18.804,-45.616,-0.107,1
fortress,stability,-31.411,-59.584,-8.997,1
fortress,armyValue,-541.071,-868.315,-220.949,1
fortress,killsValue,817.857,330.335,1335.737,1
fortress,deathsValue,841.518,399.978,1381.484,1
fortress,completedTechnologies,-0.027,-0.062,0.009,0
fortress,researchInputSpent,-0.107,-0.357,0.143,0
fortress,mobilized,2.348,-2.67,7.536,0
fortress,availableWorkforce,-14.857,-32.92,-0.758,1
fortress,warCasualties,0.902,0.268,1.616,1
fortress,activeWars,0.143,0.062,0.232,1
fortress,plannerRequests,0.018,0.0,0.045,0
fortress,targetSelections,1.375,0.482,2.286,1
fortress,retreats,0.027,0.0,0.062,0
fortress,regroups,0.062,0.009,0.125,1
fortress,reengagements,0.009,0.0,0.027,0
