profile,field,mean,ci95Low,ci95High,significant
aggressor,retreats,1.955,1.634,2.313,1
aggressor,regroups,5.009,4.089,6.018,1
aggressor,reengagements,4.098,3.116,5.107,1
aggressor,targetSelections,33.58,30.232,37.197,1
aggressor,collapsed,0.0,-0.062,0.062,0
aggressor,deathsValue,-428.571,-1405.357,610.781,0
aggressor,killsValue,-1261.607,-3028.27,505.859,0
aggressor,armyValue,257.143,-695.312,1187.165,0
aggressor,warCasualties,-0.277,-2.09,1.759,0
aggressor,activeWars,-0.009,-0.081,0.054,0
aggressor,scoreLead,-0.045,-0.152,0.054,0
economist,retreats,0.411,0.241,0.634,1
economist,regroups,0.723,0.5,0.965,1
economist,reengagements,0.554,0.357,0.786,1
economist,targetSelections,11.991,10.411,13.705,1
economist,collapsed,0.009,0.0,0.027,0
economist,deathsValue,-326.339,-1370.636,720.658,0
economist,killsValue,-1238.393,-2629.029,171.272,0
economist,armyValue,-419.643,-1557.165,808.047,0
economist,warCasualties,-0.795,-2.812,1.286,0
economist,activeWars,-0.027,-0.062,0.0,0
economist,scoreLead,0.045,-0.054,0.143,0
technologist,retreats,1.464,1.188,1.75,1
technologist,regroups,1.545,1.259,1.83,1
technologist,reengagements,0.973,0.732,1.223,1
technologist,targetSelections,25.804,22.847,28.786,1
technologist,collapsed,0.107,0.054,0.17,1
technologist,deathsValue,3982.589,2353.538,5460.458,1
technologist,killsValue,3260.714,1769.208,4652.467,1
technologist,armyValue,-2527.232,-3896.038,-1234.241,1
technologist,warCasualties,1.786,-1.58,5.027,0
technologist,activeWars,0.723,0.625,0.812,1
technologist,scoreLead,-0.018,-0.098,0.071,0
fortress,retreats,0.152,0.071,0.241,1
fortress,regroups,0.188,0.107,0.286,1
fortress,reengagements,0.152,0.08,0.241,1
fortress,targetSelections,12.116,10.401,13.92,1
fortress,collapsed,-0.009,-0.027,0.0,0
fortress,deathsValue,2039.286,1110.971,2913.438,1
fortress,killsValue,4506.25,3213.359,5794.81,1
fortress,armyValue,-1343.304,-2358.493,-313.806,1
fortress,warCasualties,4.125,2.518,5.625,1
fortress,activeWars,0.741,0.661,0.83,1
fortress,scoreLead,0.018,-0.062,0.098,0
