profile,n,score_leads,collapses,final_plans,planner_requests_mean,score_candidate_mean,score_delta_mean,score_delta_ci_low,score_delta_ci_high,population_candidate_mean,population_delta_mean,population_delta_ci_low,population_delta_ci_high,prosperity_candidate_mean,prosperity_delta_mean,prosperity_delta_ci_low,prosperity_delta_ci_high,stability_candidate_mean,stability_delta_mean,stability_delta_ci_low,stability_delta_ci_high,armyValue_candidate_mean,armyValue_delta_mean,armyValue_delta_ci_low,armyValue_delta_ci_high,completedTechnologies_candidate_mean,completedTechnologies_delta_mean,completedTechnologies_delta_ci_low,completedTechnologies_delta_ci_high,researchInputSpent_candidate_mean,researchInputSpent_delta_mean,researchInputSpent_delta_ci_low,researchInputSpent_delta_ci_high,mobilized_candidate_mean,mobilized_delta_mean,mobilized_delta_ci_low,mobilized_delta_ci_high,availableWorkforce_candidate_mean,availableWorkforce_delta_mean,availableWorkforce_delta_ci_low,availableWorkforce_delta_ci_high,warCasualties_candidate_mean,warCasualties_delta_mean,warCasualties_delta_ci_low,warCasualties_delta_ci_high,activeWars_candidate_mean,activeWars_delta_mean,activeWars_delta_ci_low,activeWars_delta_ci_high
aggressor,112,28,13,economy:99;recovery:13,2.054,67899.384,712.152,-4442.573,6560.452,889.402,-8.268,-53.627,36.438,879.634,0.571,-43.92,46.128,856.92,3.893,-42.158,47.29,8741.964,426.339,-486.239,1309.855,1.0,0.062,0.018,0.107,92.679,0.804,-0.5,2.143,10.223,-23.652,-28.241,-19.018,548.589,18.723,-12.452,47.073,15.741,-0.875,-2.491,0.759,0.045,-0.018,-0.045,0.0
economist,112,38,1,economy:111;recovery:1,2.009,78738.366,554.107,-4286.411,5708.67,998.938,-7.848,-26.822,2.598,977.804,41.473,21.651,53.75,870.339,45.777,27.035,56.938,14521.429,179.911,-819.408,1237.667,1.027,0.027,0.0,0.062,94.804,0.607,-0.5,1.518,33.098,-126.714,-137.867,-114.964,595.179,122.205,106.561,135.914,15.92,-1.295,-3.107,0.491,1.018,-0.009,-0.027,0.0
technologist,112,17,1,recovery:12;technology:100,4.17,62290.705,-4884.554,-10095.832,192.93,990.973,10.411,-18.644,46.702,980.661,52.625,23.561,86.163,769.205,-17.233,-42.027,8.581,10289.286,-1635.268,-2910.792,-419.967,2.455,1.464,1.366,1.571,158.696,64.589,62.75,66.321,25.214,-108.857,-122.322,-95.643,591.973,112.804,89.096,138.592,32.812,7.661,4.723,10.911,1.955,0.705,0.607,0.804
fortress,112,29,0,economy:112,1.0,83475.027,1606.42,-2839.258,6179.914,1027.232,-3.446,-39.393,32.098,983.799,29.344,17.315,49.022,884.389,-38.725,-55.511,-17.024,15685.268,-1759.821,-2758.203,-758.728,1.107,0.116,0.062,0.179,95.446,1.089,0.232,2.054,40.679,-53.679,-65.081,-42.527,600.5,44.214,22.365,64.072,14.625,3.661,1.973,5.215,0.964,0.714,0.625,0.804
