profile,field,mean,ci95Low,ci95High,significant
aggressor,scoreLead,-0.018,-0.098,0.054,0
aggressor,collapsed,-0.071,-0.134,-0.018,1
aggressor,score,-1663.214,-7027.717,4028.885,0
aggressor,population,81.089,26.294,143.929,1
aggressor,prosperity,60.973,6.783,124.006,1
aggressor,stability,56.036,2.563,111.599,1
aggressor,armyValue,4702.679,3528.504,5952.321,1
aggressor,killsValue,-8206.696,-9987.801,-6227.042,1
aggressor,deathsValue,-6898.214,-8373.047,-5410.982,1
aggressor,completedTechnologies,-0.08,-0.143,-0.027,1
aggressor,researchInputSpent,-0.429,-1.0,0.107,0
aggressor,mobilized,26.911,18.276,36.67,1
aggressor,availableWorkforce,27.464,-7.366,65.394,0
aggressor,warCasualties,-7.946,-10.857,-5.053,1
aggressor,activeWars,0.0,-0.277,0.277,0
aggressor,plannerRequests,-0.214,-0.312,-0.116,1
aggressor,targetSelections,-16.196,-21.375,-10.979,1
aggressor,retreats,-1.286,-1.732,-0.875,1
aggressor,regroups,-4.277,-5.768,-2.946,1
aggressor,reengagements,-3.58,-5.045,-2.312,1
economist,scoreLead,-0.08,-0.179,0.009,0
economist,collapsed,0.0,0.0,0.0,0
economist,score,-443.411,-4186.126,3481.001,0
economist,population,-1.5,-3.366,0.25,0
economist,prosperity,1.634,-1.58,4.929,0
economist,stability,-19.17,-36.242,-1.607,1
economist,armyValue,-133.036,-1140.804,799.621,0
economist,killsValue,782.143,-325.067,1984.029,0
economist,deathsValue,773.661,-237.188,1836.317,0
economist,completedTechnologies,0.0,-0.036,0.036,0
economist,researchInputSpent,-0.054,-0.518,0.375,0
economist,mobilized,-4.384,-12.788,4.018,0
economist,availableWorkforce,2.884,-5.402,10.812,0
economist,warCasualties,1.5,-0.366,3.438,0
economist,activeWars,0.179,0.018,0.348,1
economist,plannerRequests,0.0,0.0,0.0,0
economist,targetSelections,-0.821,-2.732,1.107,0
economist,retreats,0.045,-0.045,0.134,0
economist,regroups,-0.045,-0.188,0.098,0
economist,reengagements,-0.045,-0.134,0.054,0
technologist,scoreLead,0.134,0.036,0.223,1
technologist,collapsed,-0.027,-0.071,0.009,0
technologist,score,11692.241,5734.953,17289.079,1
technologist,population,70.045,24.812,123.009,1
technologist,prosperity,20.299,-15.399,57.855,0
technologist,stability,-3.37,-40.815,37.994,0
technologist,armyValue,5446.875,3952.924,6798.214,1
technologist,killsValue,-3219.196,-4282.21,-2140.58,1
technologist,deathsValue,-5035.714,-6972.645,-3137.042,1
technologist,completedTechnologies,0.134,0.036,0.241,1
technologist,researchInputSpent,2.304,-0.054,4.965,0
technologist,mobilized,17.223,10.008,25.036,1
technologist,availableWorkforce,30.304,-0.009,65.529,0
technologist,warCasualties,-6.902,-10.304,-3.33,1
technologist,activeWars,0.357,0.178,0.562,1
technologist,plannerRequests,-0.062,-0.152,0.018,0
technologist,targetSelections,-11.625,-15.777,-7.339,1
technologist,retreats,-1.054,-1.357,-0.768,1
technologist,regroups,-1.125,-1.393,-0.857,1
technologist,reengagements,-0.902,-1.098,-0.705,1
fortress,scoreLead,-0.036,-0.125,0.054,0
fortress,collapsed,0.009,0.0,0.027,0
fortress,score,-3310.42,-6699.696,75.163,0
fortress,population,-7.973,-27.232,2.358,0
fortress,prosperity,-9.509,-30.1,2.009,0
fortress,stability,-5.161,-31.317,15.886,0
fortress,armyValue,611.607,-276.942,1490.759,0
fortress,killsValue,-1205.357,-2172.801,-209.275,1
fortress,deathsValue,-678.125,-1540.223,215.658,0
fortress,completedTechnologies,-0.098,-0.196,0.009,0
fortress,researchInputSpent,-0.125,-0.857,0.643,0
fortress,mobilized,1.411,-7.1,9.885,0
fortress,availableWorkforce,-6.045,-21.25,5.946,0
fortress,warCasualties,-1.17,-2.732,0.402,0
fortress,activeWars,0.0,-0.152,0.161,0
fortress,plannerRequests,0.009,0.0,0.027,0
fortress,targetSelections,-2.545,-4.295,-0.938,1
fortress,retreats,-0.009,-0.071,0.054,0
fortress,regroups,-0.018,-0.107,0.054,0
fortress,reengagements,-0.036,-0.089,0.009,0
