profile,n,score_leads,collapses,final_plans,planner_requests_mean,score_candidate_mean,score_delta_mean,score_delta_ci_low,score_delta_ci_high,population_candidate_mean,population_delta_mean,population_delta_ci_low,population_delta_ci_high,prosperity_candidate_mean,prosperity_delta_mean,prosperity_delta_ci_low,prosperity_delta_ci_high,stability_candidate_mean,stability_delta_mean,stability_delta_ci_low,stability_delta_ci_high,armyValue_candidate_mean,armyValue_delta_mean,armyValue_delta_ci_low,armyValue_delta_ci_high,completedTechnologies_candidate_mean,completedTechnologies_delta_mean,completedTechnologies_delta_ci_low,completedTechnologies_delta_ci_high,researchInputSpent_candidate_mean,researchInputSpent_delta_mean,researchInputSpent_delta_ci_low,researchInputSpent_delta_ci_high,warCasualties_candidate_mean,warCasualties_delta_mean,warCasualties_delta_ci_low,warCasualties_delta_ci_high,activeWars_candidate_mean,activeWars_delta_mean,activeWars_delta_ci_low,activeWars_delta_ci_high
aggressor,112,34,9,economy:103;recovery:9,3.304,69298.768,2111.536,-3734.07,8396.987,926.232,28.562,-33.527,90.885,905.268,26.205,-36.241,88.938,880.232,27.205,-34.594,86.585,8868.75,553.125,-323.661,1466.607,0.036,-0.902,-0.955,-0.839,24.089,-67.786,-69.589,-65.786,15.482,-1.134,-2.902,0.804,0.045,-0.018,-0.054,0.018
economist,112,33,2,economy:109;recovery:3,3.982,80038.527,1854.268,-3967.895,7821.206,989.0,-17.786,-45.348,1.223,915.455,-20.875,-48.108,-2.214,807.312,-17.25,-40.752,-0.205,14657.143,315.625,-900.045,1594.654,0.036,-0.964,-0.991,-0.929,24.5,-69.696,-70.911,-68.25,16.714,-0.5,-2.75,1.884,0.991,-0.036,-0.071,-0.009
technologist,112,21,2,recovery:17;technology:95,7.116,66490.812,-684.446,-6570.869,5603.238,985.223,4.661,-31.547,42.452,931.866,3.83,-30.188,38.419,777.462,-8.975,-41.683,21.062,10946.429,-978.125,-2442.991,376.116,1.0,0.009,0.0,0.027,98.375,4.268,2.482,6.286,29.42,4.268,1.151,7.483,1.384,0.134,0.027,0.25
fortress,112,24,0,economy:112,2.509,77127.75,-4740.857,-10219.86,709.79,1022.866,-7.812,-44.808,29.125,957.754,3.299,-8.75,22.915,909.392,-13.722,-31.762,6.931,16513.839,-931.25,-2000.1,128.393,0.0,-0.991,-1.0,-0.973,26.125,-68.232,-69.643,-66.786,10.062,-0.902,-2.42,0.679,0.42,0.17,0.062,0.277
