profile,field,mean,ci95Low,ci95High,significant
aggressor,scoreLead,0.054,-0.009,0.116,0
aggressor,collapsed,-0.036,-0.107,0.036,0
aggressor,score,159.812,-5160.672,5310.752,0
aggressor,population,36.223,-27.854,106.965,0
aggressor,prosperity,36.777,-31.826,102.019,0
aggressor,stability,63.804,0.825,127.987,1
aggressor,armyValue,-526.786,-1624.241,473.248,0
aggressor,killsValue,346.875,-1195.089,1901.92,0
aggressor,deathsValue,-312.054,-1626.127,1085.123,0
aggressor,completedTechnologies,0.036,-0.045,0.125,0
aggressor,researchInputSpent,0.232,-0.661,1.161,0
aggressor,mobilized,-2.723,-10.84,5.181,0
aggressor,availableWorkforce,25.589,-16.306,69.448,0
aggressor,warCasualties,0.348,-2.527,3.09,0
aggressor,activeWars,-0.357,-0.571,-0.134,1
aggressor,plannerRequests,0.036,-0.089,0.143,0
aggressor,targetSelections,3.339,-1.839,8.179,0
aggressor,retreats,0.0,-0.411,0.393,0
aggressor,regroups,-0.304,-2.009,1.321,0
aggressor,reengagements,-0.143,-1.733,1.34,0
economist,scoreLead,-0.062,-0.143,0.018,0
economist,collapsed,0.0,0.0,0.0,0
economist,score,-2313.902,-6522.043,1869.23,0
economist,population,-1.464,-3.179,0.223,0
economist,prosperity,3.911,0.553,7.125,1
economist,stability,36.491,18.303,54.002,1
economist,armyValue,-309.821,-1265.792,623.683,0
economist,killsValue,-800.0,-1941.116,309.397,0
economist,deathsValue,803.571,-144.743,1700.48,0
economist,completedTechnologies,0.054,0.0,0.116,0
economist,researchInputSpent,0.321,-0.322,1.0,0
economist,mobilized,-10.17,-18.813,-1.705,1
economist,availableWorkforce,8.705,0.16,16.653,1
economist,warCasualties,1.464,-0.25,3.205,0
economist,activeWars,-0.375,-0.545,-0.205,1
economist,plannerRequests,0.009,0.0,0.027,0
economist,targetSelections,-0.509,-2.17,1.09,0
economist,retreats,0.009,-0.071,0.08,0
economist,regroups,0.205,0.036,0.384,1
economist,reengagements,0.241,0.089,0.402,1
technologist,scoreLead,0.027,-0.045,0.107,0
technologist,collapsed,0.009,-0.045,0.062,0
technologist,score,3443.75,-1911.849,8338.65,0
technologist,population,2.509,-51.735,58.0,0
technologist,prosperity,-9.429,-62.063,43.789,0
technologist,stability,9.621,-41.777,59.302,0
technologist,armyValue,762.946,-391.116,1881.708,0
technologist,killsValue,-289.286,-1394.42,737.991,0
technologist,deathsValue,-1656.696,-3111.808,-221.35,1
technologist,completedTechnologies,0.036,-0.089,0.152,0
technologist,researchInputSpent,0.429,-1.839,3.018,0
technologist,mobilized,1.634,-5.884,8.663,0
technologist,availableWorkforce,1.089,-33.823,37.333,0
technologist,warCasualties,-2.723,-5.054,-0.455,1
technologist,activeWars,-0.17,-0.304,-0.027,1
technologist,plannerRequests,0.009,-0.098,0.116,0
technologist,targetSelections,-3.67,-7.241,-0.107,1
technologist,retreats,-0.277,-0.536,-0.009,1
technologist,regroups,-0.241,-0.518,0.027,0
technologist,reengagements,-0.116,-0.33,0.107,0
fortress,scoreLead,-0.018,-0.116,0.071,0
fortress,collapsed,-0.018,-0.045,0.0,0
fortress,score,-2592.116,-6338.237,1040.708,0
fortress,population,24.804,-2.429,60.671,0
fortress,prosperity,16.978,-2.536,43.729,0
fortress,stability,2.334,-21.461,29.606,0
fortress,armyValue,-1005.804,-1850.547,-214.721,1
fortress,killsValue,533.929,-430.446,1496.261,0
fortress,deathsValue,945.982,-80.056,1871.942,0
fortress,completedTechnologies,0.054,-0.045,0.152,0
fortress,researchInputSpent,0.536,-0.089,1.161,0
fortress,mobilized,2.321,-7.67,12.698,0
fortress,availableWorkforce,6.875,-9.921,26.359,0
fortress,warCasualties,2.411,0.982,3.857,1
fortress,activeWars,0.098,-0.036,0.232,0
fortress,plannerRequests,-0.018,-0.045,0.0,0
fortress,targetSelections,2.402,0.401,4.348,1
fortress,retreats,0.027,-0.027,0.089,0
fortress,regroups,0.0,-0.089,0.08,0
fortress,reengagements,-0.009,-0.054,0.036,0
